City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Mezen,RU,2022-04-07 02:59:37,65.8522,44.24,271.29,96,100,3.79
138,Kogon,UZ,2022-04-07 02:59:37,39.7228,64.5517,293.17,45,0,3.09
139,Bambanglipuro,ID,2022-04-07 02:59:37,-7.95,110.2833,301.46,73,100,2.5
140,Victoria,HK,2022-04-07 02:59:05,22.2855,114.1577,299.8,64,35,3.58
141,Yellowknife,CA,2022-04-07 02:59:38,62.456,-114.3525,273.44,64,20,2.57
142,Alyangula,AU,2022-04-07 02:59:39,-13.8483,136.4192,304.08,70,40,3.6
143,Kahului,US,2022-04-07 02:59:39,20.8947,-156.47,297.51,81,57,3.13
144,Pechenga,RU,2022-04-07 02:59:40,69.5259,31.1703,269.75,93,100,5.49
145,Esperance,AU,2022-04-07 02:59:40,-33.8667,121.9,296.06,56,3,4.03
146,Ribeira Grande,PT,2022-04-07 02:58:26,38.5167,-28.7,289.88,89,100,13.08
147,Mulege,MX,2022-04-07 02:59:41,26.8833,-111.9833,293.14,53,0,1.45
148,Carnarvon,AU,2022-04-07 02:59:41,-24.8667,113.6333,303.19,62,14,4.63
149,Hilo,US,2022-04-07 02:59:34,19.7297,-155.09,295.0,90,100,3.09
150,Riverton,US,2022-04-07 02:59:42,40.5219,-111.9391,279.9,33,0,2.06
151,Georgetown,MY,2022-04-07 02:59:28,5.4112,100.3354,303.11,87,20,2.68
152,Havoysund,NO,2022-04-07 02:53:19,70.9963,24.6622,274.28,79,99,10.62
153,Daliao,PH,2022-04-07 02:59:43,5.8611,124.9533,302.18,72,98,5.08
154,Moranbah,AU,2022-04-07 02:59:44,-22.0016,148.0466,301.16,45,37,6.67
155,Keti Bandar,PK,2022-04-07 02:59:44,24.1447,67.4497,300.75,67,48,6.79
156,Ponta Do Sol,PT,2022-04-07 02:59:45,32.6667,-17.1,289.5,75,42,1.13
157,Le Pont-De-Claix,FR,2022-04-07 02:59:46,45.1244,5.7064,284.26,92,99,0.56
158,Butaritari,KI,2022-04-07 02:59:46,3.0707,172.7902,300.75,77,74,7.95
159,Coquimbo,CL,2022-04-07 02:59:47,-29.9533,-71.3436,287.0,94,100,1.54
160,Cam Ranh,VN,2022-04-07 02:59:47,11.9214,109.1591,301.13,57,75,7.72
161,Cabo San Lucas,MX,2022-04-07 02:59:48,22.8909,-109.9124,294.6,70,2,4.3
162,Boende,CD,2022-04-07 02:59:48,-0.2167,20.8667,294.56,90,99,1.01
163,Cidreira,BR,2022-04-07 02:59:48,-30.1811,-50.2056,293.5,80,13,6.27
164,Kandrian,PG,2022-04-07 02:59:49,-6.2167,149.55,301.9,74,98,3.6
165,Arraial Do Cabo,BR,2022-04-07 02:59:49,-22.9661,-42.0278,297.07,84,16,3.72
166,Khatanga,RU,2022-04-07 02:50:34,71.9667,102.5,264.8,81,100,7.83
167,Mayo,US,2022-04-07 02:59:50,38.8876,-76.5119,286.38,91,100,5.81
168,Ahuimanu,US,2022-04-07 02:59:51,21.4447,-157.8378,298.67,86,21,0.89
