City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Vila Franca Do Campo,PT,37.7167,-25.4333,61.214,82,98,5.95,overcast clouds
108,New Norfolk,AU,-42.7826,147.0587,51.89,60,52,0.89,broken clouds
109,Kayes,ML,14,-11,106.376,7,20,0.16,few clouds
110,Pangkalanbuun,ID,-2.6833,111.6167,74.426,96,57,0.54,broken clouds
111,Saskylakh,RU,71.9167,114.0833,-10.318,100,96,1.3,overcast clouds
112,Mosquera,CO,4.7059,-74.2302,60.89,72,40,2.06,scattered clouds
113,Bairiki,KI,1.3292,172.9752,80.6,89,75,0,light rain
114,Faanui,PF,-16.4833,-151.75,82.184,67,40,6.44,scattered clouds
115,Ancud,CL,-41.8697,-73.8203,51.224,85,100,3.61,light rain
116,Ostersund,SE,63.1792,14.6357,38.606,75,0,10.29,clear sky
117,Aykhal,RU,66,111.5,9.878,97,96,0.89,overcast clouds
118,Hovd,MN,48.0056,91.6419,31.784,35,96,1.56,overcast clouds
119,Klaksvik,FO,62.2266,-6.589,40.118,71,100,10.27,overcast clouds
120,Kaitangata,NZ,-46.2817,169.8464,52.898,85,98,3.53,overcast clouds
121,Pitimbu,BR,-7.4706,-34.8086,84.794,59,99,3.48,overcast clouds
122,Thompson,CA,55.7435,-97.8558,26.762,80,75,3.6,broken clouds
123,Igurubi,TZ,-4,33.7,78.872,49,95,4.35,overcast clouds
124,Georgetown,MY,5.4112,100.3354,82.328,83,20,1.03,few clouds
125,Arraial Do Cabo,BR,-22.9661,-42.0278,82.256,61,40,3.09,scattered clouds
126,Los Llanos De Aridane,ES,28.6585,-17.9182,65.948,76,75,4.63,broken clouds
127,Petropavlovskaya,RU,45.0819,40.4512,69.08,60,21,3.71,few clouds
128,Kahului,US,20.8947,-156.47,73.85,84,40,3.58,scattered clouds
129,Gizo,SB,-8.103,156.8419,81.608,78,86,3.57,moderate rain
130,San Cristobal,VE,7.7669,-72.225,69.98,48,41,3.08,scattered clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,69.512,72,97,2.24,overcast clouds
132,Resistencia,AR,-27.4606,-58.9839,70.088,95,75,3.6,broken clouds
133,Kwinana,AU,-32.25,115.7667,58.172,78,25,5.06,scattered clouds
134,Moranbah,AU,-22.0016,148.0466,71.042,87,94,3.5,overcast clouds
135,Thunder Bay,CA,48.4001,-89.3168,36.284,94,100,1.54,moderate rain
136,Hasaki,JP,35.7333,140.8333,61.286,86,100,7,overcast clouds
137,Airai,TL,-8.9266,125.4092,59.954,64,100,0.83,overcast clouds
138,Saquarema,BR,-22.92,-42.5103,82.436,70,0,3.02,clear sky
139,Harsin,IR,34.2721,47.5861,76.01,23,43,3.58,scattered clouds
140,Khatanga,RU,71.9667,102.5,-11.254,100,89,0.83,overcast clouds
141,College,US,64.8569,-147.8028,24.8,84,40,1.54,scattered clouds
142,Hermanus,ZA,-34.4187,19.2345,82.796,59,0,1.56,clear sky
143,Labuhan,ID,-6.8844,112.2051,80.096,77,36,1.34,scattered clouds
144,Longyearbyen,SJ,78.2186,15.6401,8.438,66,20,7.2,few clouds
145,Avarua,CK,-21.2078,-159.775,75.254,100,100,1.03,overcast clouds
146,Rawson,AR,-43.3002,-65.1023,61.178,42,21,5.51,few clouds
147,Kadur,IN,13.5533,76.0131,87.224,26,94,4.54,overcast clouds
148,Solnechnyy,RU,50.7214,136.6319,24.89,96,88,2.51,light snow
149,Pascagoula,US,30.3658,-88.5561,71.654,83,100,4.12,overcast clouds
150,Torbay,CA,47.6666,-52.7314,37.76,96,100,6.17,light intensity drizzle
151,Constitucion,CL,-35.3333,-72.4167,57.938,53,30,3.45,scattered clouds
152,Sarangani,PH,5.4033,125.4636,81.59,82,100,10.04,overcast clouds
153,San Policarpo,PH,12.1791,125.5072,77.342,93,97,3.2,light rain
154,Houston,US,29.7633,-95.3633,75.416,82,0,8.75,mist
155,Ottawa,CA,45.4112,-75.6981,47.714,55,20,3.09,few clouds
156,Zharkent,KZ,44.1628,80,67.118,29,93,3.5,overcast clouds
157,Caravelas,BR,-17.7125,-39.2481,80.33,81,53,1.25,broken clouds
158,Manoel Urbano,BR,-8.8389,-69.2597,86.666,57,74,1.75,broken clouds
159,Pangnirtung,CA,66.1451,-65.7125,15.8,67,20,2.57,few clouds
160,Yar-Sale,RU,66.8333,70.8333,34.466,99,100,5.24,overcast clouds
161,Kodiak,US,57.79,-152.4072,27.914,64,0,2.06,clear sky
