City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
74,Inhambane,MZ,-23.865,35.3833,82.382,78,75,3.09,broken clouds,Lobster Chalets
77,Saint-Philippe,RE,-21.3585,55.7679,78.386,84,66,7.17,light rain,"""Plantation Bed and Breakfast"
79,Buala,SB,-8.145,159.5921,79.772,81,87,2.36,overcast clouds,Maringe Lagoon Lodge
83,La Peca,PE,-5.6111,-78.435,77.558,67,100,1.34,overcast clouds,Valle del Inca
85,Vaini,TO,-21.2,-175.2,77.162,94,75,3.6,light intensity drizzle,Little Italy Hotel
86,Lethem,GY,3.3803,-59.7968,88.898,49,100,5.48,overcast clouds,Savannah Inn
91,Jambi,ID,-1.6,103.6167,77.324,90,73,1.07,broken clouds,ASTON Jambi Hotel & Conference Center
97,Victoria,HK,22.2855,114.1577,80.186,79,0,1.79,clear sky,Mini Hotel Central
104,Kavaratti,IN,10.5669,72.642,83.948,73,37,5.32,scattered clouds,Hotels in Lakshadweep Islands
113,Bairiki,KI,1.3292,172.9752,80.6,89,75,0.0,light rain,Fema Lodge
114,Faanui,PF,-16.4833,-151.75,82.184,67,40,6.44,scattered clouds,InterContinental Bora Bora Resort Thalasso Spa
121,Pitimbu,BR,-7.4706,-34.8086,84.794,59,99,3.48,overcast clouds,Encanto do Litoral
123,Igurubi,TZ,-4.0,33.7,78.872,49,95,4.35,overcast clouds,Acacia Hotel
124,Georgetown,MY,5.4112,100.3354,82.328,83,20,1.03,few clouds,Cititel Penang
125,Arraial Do Cabo,BR,-22.9661,-42.0278,82.256,61,40,3.09,scattered clouds,Pousada Porto Praia
129,Gizo,SB,-8.103,156.8419,81.608,78,86,3.57,moderate rain,Imagination Island
138,Saquarema,BR,-22.92,-42.5103,82.436,70,0,3.02,clear sky,Hotel Fazenda Sol e Lua
139,Harsin,IR,34.2721,47.5861,76.01,23,43,3.58,scattered clouds,ایزوگام اصل دلیجان و شرق
142,Hermanus,ZA,-34.4187,19.2345,82.796,59,0,1.56,clear sky,Misty Waves Boutique Hotel
143,Labuhan,ID,-6.8844,112.2051,80.096,77,36,1.34,scattered clouds,Hotel Mustika
145,Avarua,CK,-21.2078,-159.775,75.254,100,100,1.03,overcast clouds,Little Polynesian Resort
147,Kadur,IN,13.5533,76.0131,87.224,26,94,4.54,overcast clouds,Annapoorna Castle
152,Sarangani,PH,5.4033,125.4636,81.59,82,100,10.04,overcast clouds,Ballistic Islet
153,San Policarpo,PH,12.1791,125.5072,77.342,93,97,3.2,light rain,Kirum-Kirum Resort and Hotel
154,Houston,US,29.7633,-95.3633,75.416,82,0,8.75,mist,"Hotel ICON, Autograph Collection"
157,Caravelas,BR,-17.7125,-39.2481,80.33,81,53,1.25,broken clouds,Pousada Verdes Mares
158,Manoel Urbano,BR,-8.8389,-69.2597,86.666,57,74,1.75,broken clouds,Baixada Beira Rio
162,San Patricio,US,28.017,-97.5169,76.064,74,100,8.15,overcast clouds,La Quinta Inn & Suites by Wyndham Corpus Christi Northwest
164,Punta Cardon,VE,11.6581,-70.215,82.436,67,56,11.36,broken clouds,Santa Fe Inn Hotel
167,Touros,BR,-5.1989,-35.4608,87.764,57,98,5.78,overcast clouds,Mandacaru Flat
175,Bambous Virieux,MU,-20.3428,57.7575,77.252,88,75,5.14,light rain,Shandrani Beachcomber Resort & Spa
177,Abapo,BO,-18.8333,-63.4667,86.216,44,16,1.04,few clouds,Hotel El Petrolero 3
178,Vieux-Habitants,GP,16.0589,-61.7659,85.712,64,31,4.7,scattered clouds,Villa Mancina
179,Port Elizabeth,ZA,-33.918,25.5701,77.09,80,0,8.23,clear sky,39 On Nile Guest House
186,Mahebourg,MU,-20.4081,57.7,77.288,88,75,5.14,broken clouds,Shandrani Beachcomber Resort & Spa
199,Hobyo,SO,5.3505,48.5268,84.146,68,7,5.61,clear sky,Iftin hotel hobyo
202,Namatanai,PG,-3.6667,152.4333,79.682,80,88,2.93,overcast clouds,Seagulls Inn Namatani
205,Harper,LR,4.375,-7.7169,84.884,70,66,3.73,light rain,Screensaver
206,Bayeux,BR,-7.125,-34.9322,84.83,74,75,5.14,broken clouds,Infinity Motel
209,Kalianget,ID,-7.05,113.9333,81.824,69,35,2.16,scattered clouds,OYO 3271 Homestay Pandian
214,Salta,AR,-24.7859,-65.4117,75.578,71,20,2.57,few clouds,Hotel Alejandro I
216,Suez,EG,29.9737,32.5263,77.252,28,0,10.42,clear sky,Mousa Coast
219,Ormara,PK,25.2088,64.6357,81.068,75,1,3.6,clear sky,Kenara Colony house for Rent
222,Bac Lieu,VN,9.285,105.7244,80.618,79,27,3.38,scattered clouds,Nha Mat Resort
228,Gadung,PH,6.8025,124.02,80.186,81,100,3.72,overcast clouds,Angel Erese Property
230,Banes,CU,20.9625,-75.7186,78.746,62,99,7.21,overcast clouds,Club Amigo Atlantico Guardalavaca
234,Tual,ID,-5.6667,132.75,82.922,73,100,3.64,overcast clouds,Grand Vilia Hotel
236,Cayenne,GF,4.9333,-52.3333,86.036,1,40,7.2,scattered clouds,Hôtel Le Dronmi
240,Cuamba,MZ,-14.8031,36.5372,76.316,75,38,0.68,scattered clouds,Hotel Vision
243,Dalbandin,PK,28.8947,64.4101,87.998,7,18,4.05,few clouds,Sanjrani House
246,Saurimo,AO,-9.6608,20.3916,84.524,61,75,3.6,broken clouds,Hotel Kawissa Saurimo
249,Le Vauclin,MQ,14.5452,-60.8388,86.054,62,75,7.72,broken clouds,Pierre et Vacances Resort Sainte-Luce
254,Soyo,AO,-6.1349,12.3689,80.672,80,99,2.3,moderate rain,Flat Hotel Prosper
256,Sabha,LY,27.0377,14.4283,86.396,11,0,5.99,clear sky,Foundation Taaj Asala for Historical Research and Archeology
262,Pakxan,LA,18.3778,103.6601,81.23,54,35,1.51,scattered clouds,ศิริอัมพร รีสอร์ต
266,Faya,SA,18.3851,42.4509,77.108,42,3,5.34,clear sky,Abha Hotel
268,Chimoio,MZ,-19.1164,33.4833,76.856,78,40,5.66,scattered clouds,Predio Livraria Ahmed
269,Tautira,PF,-17.7333,-149.15,79.862,77,29,5.36,light rain,Vanira Lodge
